,photo_url,captions,hashtags,interest
0,https://instagram.ftun2-1.fna.fbcdn.net/v/t51.2885-15/e35/p1080x1080/99149723_619361401994344_8904048088409640810_n.jpg?_nc_ht=instagram.ftun2-1.fna.fbcdn.net&_nc_cat=104&_nc_ohc=6iaOMWquTBQAX_NY6lQ&oh=edef7bbb62c823be139f8438bfa43ba8&oe=5EEE1506,"That gentle evening light flooding into the kitchen, a bunch of overblown pink tulips and a plate of leftover meringues inviting me to help myself. Small things, all making me feel happy today. I love that the days are getting so long - feels like summer is well on its way. Hope youre week is off to a good start too","['smallpleasures', 'athome', 'mondays']",food and drink
1,https://instagram.ftun2-1.fna.fbcdn.net/v/t51.2885-15/e35/p1080x1080/97189715_904554550017492_2314437110352671079_n.jpg?_nc_ht=instagram.ftun2-1.fna.fbcdn.net&_nc_cat=100&_nc_ohc=JqL_L7TUF-IAX9HV5gg&oh=863b8329548732eae24afa6edd2e57f6&oe=5EEEE309,"Last week I made a tarte tatin - with a box of nespole (loquats) that we had lying about in the kitchen and that were almost past their best. I had almost forgotten quite how much I love tarte tatin: that buttery pastry laced with just that hint of burnt caramel and ever-so-slightly tart fruit. I thought I would share the recipe here in case you too find yourself in the mood for a spoiling pudding: if you dont have loquats, you can make it with apricots instead. Other heavenly variations on the theme of tarte tatin are apple and peach. Youll need: 600g loquats (roughly); a squeeze of lemon juice; 20g butter + extra for greasing the pan; 80g caster sugar; 1 x packet of ready rolled puff pastry; 1 egg (lightly whisked); and a handful of coarsely chopped pistachios. Heat the oven to 180C. Halve and peel the loquats, scoop out their stones and discard. Arrange the fruit snugly in a frying pan (ideally one with a heatproof handle so you can use it in the oven), squeeze over the lemon juice and add a splash of water, cover and set over a medium heat for 5-10 mins until the fruit has softened a little. Take the fruit out, set to one side and grease the pan with butter. Pour the sugar into a small saucepan with 3 tbsp water and set over a medium-low heat - dont stir but very gently shake the pan from time to time; when the sugar syrup begins to caramelise, take it off the heat and add the butter. Stir in to melt, and add a generous pinch of salt. Pour the caramel into the buttered pan, then arrange the fruit snugly over the thin layer of caramel (cut side up). Cover the fruit with the puff pastry, tucking the edges in snugly around the loquats (or apricots or what-have-you). Lightly glaze the pastry with the egg. Bake for 35-40 mins until the pastry is crisp and golden. Allow to cool in the pan for 5 mins, then turn out onto a plate and sprinkle over the pistachios. Eat warm with ice cream or thick, runny double cream","['specialtreat', 'frommydiningtable']",food and drink
2,https://instagram.ftun2-1.fna.fbcdn.net/v/t51.2885-15/e35/p1080x1080/96947719_2859062314211854_1961869334339714043_n.jpg?_nc_ht=instagram.ftun2-1.fna.fbcdn.net&_nc_cat=110&_nc_ohc=7DZqsSvyPDoAX_Y0yy1&oh=0fd75f174131a8e4cca735ccbed45563&oe=5EEFDFC3,"Weve been in lockdown for eight weeks now (I think? Ive lost track of time...) and Ive found that as a family weve come to develop our own happy pseudo-traditions in this time: on Friday nights we have pizza and watch a movie together. And once a week (usually on a Saturday) we roast a rib of beef which we eat warm with roast potatoes and all the trimmings. Then the next day we have what is leftover of the beef cold for lunch, and make sandwiches with buttered sourdough tomato, peppery rocket and heaps of horseradish (probably the highlight of my week). During this period of lockdown, Ive found myself cooking more than ever and a silver lining has been the joy of rediscovering old recipes and cookbooks that I love but hadnt looked at properly in years. This Wednesday (20th) at 6pm (GMT) Ill be in conversation with @emily.k.tobin and @the_calico_club talking all things cooking-in-quarantine and favourite cookbooks. Would love you to join: tickets are available through the link in @the_calico_club the_calico_club profile.",[],food and drink
3,https://instagram.ftun2-1.fna.fbcdn.net/v/t51.2885-15/e35/p1080x1080/97235122_551873205724809_5765063604224605959_n.jpg?_nc_ht=instagram.ftun2-1.fna.fbcdn.net&_nc_cat=109&_nc_ohc=SGtKNKSqLN8AX-z85--&oh=05dbafb5026f6b62d797e7d221a4a9e5&oe=5EEDF62C,"Ive been cooking a lot with freezer ingredients the last few weeks - and this recipe for Pea, Basil and Watercress Soup, served chilled with a dollop of crme fraiche, is one that I make often and really love. I thought that I would share the recipe here in case you feel like making it too: heat a dash of olive oil (roughly 2 tbsp) in a saucepan over a medium heat, then add 1 chopped onion (I use the frozen kind, because Im super lazy about chopping onion) and a pinch of salt. Cook for 5 minutes or so, until soft and translucent then add a bag of frozen peas and cover with 1l vegetable stock. Simmer gently for 10 minutes, then take off the heat and throw in a small bunch of basil and a couple of handfuls of fresh watercress (if you have them - otherwise fresh mint or just the peas soup as is are both delicious). Blitz in a blender until smooth, season with salt and pepper, then chill in the fridge. Serve with bread and lashings of crme fraiche","['athome', 'favouriterecipe']",food and drink
4,https://instagram.ftun2-1.fna.fbcdn.net/v/t51.2885-15/e35/p1080x1080/96406220_1378885125642008_7889942204002891520_n.jpg?_nc_ht=instagram.ftun2-1.fna.fbcdn.net&_nc_cat=108&_nc_ohc=b3ryhTdYJ9oAX85449r&oh=01507a48e08de3c643e1690f5c27c194&oe=5EF0AEEF,"Please join me this Thursday (14th May) for a live cook-along with @anthropologieeu: well be baking a summer berry pavlova and Ill be answering any cooking quandaries (quarantine or otherwise) you might have. Im so looking forward to it and would love to see you there: 1pm (GMT), tickets are free (though donations to NHS Charities Together are welcome) and can be booked through the link in my profile or in the events section of the @anthropologieeu homepage.",[],food and drink
5,https://instagram.ftun2-1.fna.fbcdn.net/v/t51.2885-15/e35/p1080x1080/96393126_3610232215659500_6505389692255431071_n.jpg?_nc_ht=instagram.ftun2-1.fna.fbcdn.net&_nc_cat=108&_nc_ohc=08xUM6-VRosAX99abCM&oh=75a5f7ac8b11d4143be6e01dd109d985&oe=5EEDF8B4,"All sorts of store cupboard recipes for my @sundaytimesfood column this weekend: the kind of simple food that you can easily magic together out of tins, jars and other bits you likely have hanging around in your kitchen. Pasta with anchovies, pistachio and lemon (tastes like a summer holiday); chickpea, tomato and saffron stew (a much treasured recipe and, incidentally, what we ate for lunch today); onion soup (with grilled bread and melted cheese on top); and toasted sourdough with dark chocolate, olive oil and salt (words cant fully describe how good this is). You can find all the recipes in the @thestmagazine or online - should they take your fancy.",[],food and drink
6,https://instagram.ftun2-1.fna.fbcdn.net/v/t51.2885-15/e35/p1080x1080/96417848_879580169147744_4015515536614468739_n.jpg?_nc_ht=instagram.ftun2-1.fna.fbcdn.net&_nc_cat=108&_nc_ohc=7Kk-gSPOA2cAX_Y5YQC&oh=58b4cefd023d79bada376b3fc2341d2a&oe=5EEE5974,"Last October I was lucky enough to spend a few sun-kissed, blissfully peaceful days at the @arnianopaintingschool. Still now I dream about it and long to go back: the most heavenly food and company, idyllic countryside and days spent learning to paint (sort of). I wrote a piece about it in this months issue of @tatlermagazine: it feels like a lifetime ago now but the very happiest of memories that I will treasure always. @delilahkhomo @amberguinness @matthewbellglobal @willropercurzon",[],food and drink
7,https://instagram.ftun2-1.fna.fbcdn.net/v/t51.2885-15/e35/p1080x1080/95594502_872879076542370_4402797165280679031_n.jpg?_nc_ht=instagram.ftun2-1.fna.fbcdn.net&_nc_cat=106&_nc_ohc=D6bM1kMOTvsAX_NN4Zo&oh=f9ab26fd243bcfdb7f47b8d032571108&oe=5EEF9A55,"I had such a fun time this morning baking these sweet almond pastries on the @bloomsburycooks Tuesday cook-along... and as an added bonus, we now have lots leftover to eat. Thank you to everyone who joined me - it was such a joy cooking with you and the highlight of my week! If you missed it, you can find the full recipe for the pastries in my book A Table in Venice and you can also watch the video demo for how to make them (I cant tell you how easy they are to do!) on the @bloomsburycooks stories for a little while longer.",[],food and drink
8,https://instagram.ftun2-1.fna.fbcdn.net/v/t51.2885-15/e35/p1080x1080/95479098_120813026274900_863319260198013006_n.jpg?_nc_ht=instagram.ftun2-1.fna.fbcdn.net&_nc_cat=100&_nc_ohc=GIZIkvO35uAAX8bqHcg&oh=5cb056705409a5243bd48ef279a24a79&oe=5EEE8BEA,"Todays lunch was mostly cobbled out of leftovers from the weekend: a dish of baba ganoush revived with a generous glug of olive oil; cous cous salad with capers, parsley and some bbq-ed sweet peppers thrown in; and warm flatbreads lightly brushed in melted, ever-so-slightly salted butter. We had lots of veggie odds and ends hanging about in the fridge, which @anthonysantospirito deep fried in a light batter: zucchine blossoms, a few asparagus, some bushy fennel tops, sage leaves, and best of all... chunks of mozzarella which, when fried, melted to the point of near perfection. Chocolate brownies for pudding. Highlight of my day","['athome', 'frommydiningtable']",food and drink
9,https://instagram.ftun2-1.fna.fbcdn.net/v/t51.2885-15/e35/p1080x1080/95910887_185000629228334_6642437381329139153_n.jpg?_nc_ht=instagram.ftun2-1.fna.fbcdn.net&_nc_cat=102&_nc_ohc=z5nQygMEWQ4AX_sCKKt&oh=5bc9d243a8c0744354356c639194bcf5&oe=5EEF2AF0,"During lockdown, more than ever meals have come to punctuate our days: theyre something to look forward to, to plan for, to cook for, and then to enjoy together. We spring from breakfast to lunch to dinner - and then start again the next day. I like weekends to feel a little special so instead of our usual porridge or toast, we treat ourselves to an extra spoiling breakfast: yesterday (Saturday) was hot chocolate and pastries (pain au chocolat and apricot danish) and today ambrosial, deeply indulgent maritozzi (sweet, soft buns filled with whipped cream) and a pot of hot tea","['breakfastofchampions', 'athome', 'weekends']",food and drink
