,photo_url,captions,hashtags,interest
0,https://instagram.ftun4-1.fna.fbcdn.net/v/t51.2885-15/e15/101656843_883587532125066_4971330856889655238_n.jpg?_nc_ht=instagram.ftun4-1.fna.fbcdn.net&_nc_cat=106&_nc_ohc=osCd0jOajroAX-RjYY-&oh=20f0adba556db9a847ab31b2c3cefc76&oe=5EDAF7F3,Who's treating themselves with some Freddys shoestring fries today,"['TreatYoSelf', 'FreddysWorthIt']",industry
1,https://instagram.ftun4-1.fna.fbcdn.net/v/t51.2885-15/fr/e15/s1080x1080/82622864_578315276137172_1540445528147205441_n.jpg?_nc_ht=instagram.ftun4-1.fna.fbcdn.net&_nc_cat=108&_nc_ohc=MINELPBzvGIAX-f5QBg&oh=f0f2433a0c0dfc7e266090fe32373981&oe=5F034887,Happiness begins at Freddy's : @brendaseider,['ilovefreddys'],industry
2,https://instagram.ftun4-1.fna.fbcdn.net/v/t51.2885-15/fr/e15/s1080x1080/101457771_683783409128641_1181781587980849846_n.jpg?_nc_ht=instagram.ftun4-1.fna.fbcdn.net&_nc_cat=101&_nc_ohc=MGolR2EPAxwAX8Tt_V7&oh=a2f5e3c1f163decfcd7b4711e2818a44&oe=5EDB3025,Our hot dogs are !,['FreddysWorthIt!'],industry
3,https://instagram.ftun4-1.fna.fbcdn.net/v/t51.2885-15/fr/e15/p1080x1080/100086631_572508210343670_103409546650147330_n.jpg?_nc_ht=instagram.ftun4-1.fna.fbcdn.net&_nc_cat=102&_nc_ohc=CgFYAg1U3kIAX9xO3uD&oh=19c867bef6d9186e0dd0da2ecaed653d&oe=5F0388D1,The best way to satisfy a sweet tooth : @lotsofcarbs_,['FreddysDriveThru'],industry
4,https://instagram.ftun4-1.fna.fbcdn.net/v/t51.2885-15/e15/100996112_138501531149615_8782728436193623354_n.jpg?_nc_ht=instagram.ftun4-1.fna.fbcdn.net&_nc_cat=111&_nc_ohc=-BfwCiiPP_QAX965Gvi&oh=767fb893992aac4a5064103b3deaaf2c&oe=5EDAC9BA,Tag someone who would LOVE these cheese fries,['FreddysWorthIt'],industry
5,https://instagram.ftun4-1.fna.fbcdn.net/v/t51.2885-15/fr/e15/p1080x1080/100082162_881613932317762_5236407555567435244_n.jpg?_nc_ht=instagram.ftun4-1.fna.fbcdn.net&_nc_cat=110&_nc_ohc=6qug6pWY6lsAX-2o5XW&oh=ae44c905cddf6abae3557c0ecff8145c&oe=5F009F09,Let's get to the bottom of this.,[],industry
6,https://instagram.ftun4-1.fna.fbcdn.net/v/t51.2885-15/fr/e15/s1080x1080/97911402_727342444675112_3813516248392472808_n.jpg?_nc_ht=instagram.ftun4-1.fna.fbcdn.net&_nc_cat=108&_nc_ohc=axs-UlDkwqYAX_a0Ts0&oh=06a1a7435f179cacce17b26e1140bdc0&oe=5F030727,Which Freddy's hot dog would you choose,"['ViennaBeef', 'ilovefreddys']",industry
7,https://instagram.ftun4-1.fna.fbcdn.net/v/t51.2885-15/fr/e15/p1080x1080/98294073_177964010169801_3990206591562199734_n.jpg?_nc_ht=instagram.ftun4-1.fna.fbcdn.net&_nc_cat=109&_nc_ohc=w1R35uFelQ4AX9kSZBy&oh=a44a7d15d9769233b3d91e2e4c0340eb&oe=5F03C932,Sundae Funday : @_alpha_hotel,"['FreddysDriveThru', 'FrozenCustard']",industry
8,https://instagram.ftun4-1.fna.fbcdn.net/v/t51.2885-15/fr/e15/p1080x1080/97312938_714409182434108_7479764366786796258_n.jpg?_nc_ht=instagram.ftun4-1.fna.fbcdn.net&_nc_cat=108&_nc_ohc=5L4hrGJAjTEAX-ppUZV&oh=7d7dc9f5bbebba1e0b82a1087ac4be14&oe=5F033F8B,"Our cheese curds are premium white cheddar cheese, lightly covered with butter crumbs, and fried to a gooey golden perfection",['FreddysWorthIt'],industry
9,https://instagram.ftun4-1.fna.fbcdn.net/v/t51.2885-15/fr/e15/s1080x1080/96395326_246245336484613_5393350694092817571_n.jpg?_nc_ht=instagram.ftun4-1.fna.fbcdn.net&_nc_cat=101&_nc_ohc=46N0tCtcYYQAX-EYB2f&oh=553752b876c63768ab73bec340a32aac&oe=5F036E35,Little moments like this,"['GoodToGo', 'FrozenCustard']",industry
