,photo_url,captions,hashtags,interest
0,https://instagram.ftun2-1.fna.fbcdn.net/v/t51.2885-15/e15/97263231_733921727379998_2910302413852731584_n.jpg?_nc_ht=instagram.ftun2-1.fna.fbcdn.net&_nc_cat=1&_nc_ohc=F16CUhADIscAX-lbIgV&oh=e5018458b8c87f4a4f6203086106a6ca&oe=5EC4377D,The streets wont forget Doctor of Thuganomics @johncena @btsportwwe,['WWE'],sports
1,https://instagram.ftun2-1.fna.fbcdn.net/v/t51.2885-15/fr/e15/s1080x1080/97292404_683884245738491_7163860820454029215_n.jpg?_nc_ht=instagram.ftun2-1.fna.fbcdn.net&_nc_cat=1&_nc_ohc=gJ8FhDnN6_kAX9hNhmv&oh=dd49dff5b96f724e9ffa7e651a287847&oe=5EC43F72,Happy Birthday to @danhardymma He got a hero's reception when he brought the UFC to his hometown for his final fight,"['MMA', 'UFC']",sports
2,https://instagram.ftun2-1.fna.fbcdn.net/v/t51.2885-15/fr/e15/s1080x1080/97546730_177809533764043_4131676863044185486_n.jpg?_nc_ht=instagram.ftun2-1.fna.fbcdn.net&_nc_cat=1&_nc_ohc=S-WdD7i8r8MAX_BupAL&oh=b1444c57815b3a52da5fff7e1eae8289&oe=5EC3F2A3,40 goals in a season for the fifth season in a row for @_rl9 Normality resumes,"['BundesligaIsBack', 'Bayern', 'FCB']",sports
3,https://instagram.ftun2-1.fna.fbcdn.net/v/t51.2885-15/fr/e15/s1080x1080/97238111_142626037351327_7277560550220499852_n.jpg?_nc_ht=instagram.ftun2-1.fna.fbcdn.net&_nc_cat=107&_nc_ohc=21AnKpkQcb4AX-hDkBd&oh=e393f824040ac78b4f3c436d00db48eb&oe=5EC478C7,@thebigticket205 has fought through hell and it's fantastic to have him back in the Octagon,"['UFCFL', 'MMA', 'UFC']",sports
4,https://instagram.ftun2-1.fna.fbcdn.net/v/t51.2885-15/fr/e15/s1080x1080/98260438_1305605129645646_4812002937925798380_n.jpg?_nc_ht=instagram.ftun2-1.fna.fbcdn.net&_nc_cat=106&_nc_ohc=pFBajlfKE2oAX8YJEzT&oh=19c0cf6e1fbb48a70c7dce53f004a140&oe=5EEBB482,Wonderful camaraderie and respect shown by @alistairovereem. @thebigticket205 has the heart of a warrior,"['UFCFL', 'MMA', 'UFC']",sports
5,https://instagram.ftun2-1.fna.fbcdn.net/v/t51.2885-15/fr/e15/s1080x1080/97205502_170020324411280_3721179507452765665_n.jpg?_nc_ht=instagram.ftun2-1.fna.fbcdn.net&_nc_cat=1&_nc_ohc=PXLw4w4jf2gAX8b5o5c&oh=e3dd376723d5a05884e9bb4b017aec79&oe=5EE9ACA2,The struggle is real when commentating from home,['BundesligaIsBack'],sports
6,https://instagram.ftun2-1.fna.fbcdn.net/v/t51.2885-15/e35/97130097_535987130368609_6361575844405685362_n.jpg?_nc_ht=instagram.ftun2-1.fna.fbcdn.net&_nc_cat=101&_nc_ohc=2OqdpGOMwZoAX_KLrZ4&oh=2d53e369060767d2d160e6769191c2d4&oe=5EC45C25,Cologne have used football shirts to make a tifo for today's game,['BundesligaIsBack'],sports
7,https://instagram.ftun2-1.fna.fbcdn.net/v/t51.2885-15/e35/s1080x1080/97207005_935745773541891_735965694969991852_n.jpg?_nc_ht=instagram.ftun2-1.fna.fbcdn.net&_nc_cat=1&_nc_ohc=xNBCCupJW64AX9Uy2Om&oh=ed510e4431aa3e5b190843317969c2af&oe=5EEB2EB8,Still not over this celebration from Haaland,['BundesligaIsBack'],sports
8,https://instagram.ftun2-1.fna.fbcdn.net/v/t51.2885-15/e35/97283759_2557487624475089_6970227909106089043_n.jpg?_nc_ht=instagram.ftun2-1.fna.fbcdn.net&_nc_cat=1&_nc_ohc=OoW2Y4AC5rYAX95HFAX&oh=05863a2be12117ad1a1b6c95fd0c0b0e&oe=5EC43BAB,RUTHLESS..... AGGRESSION!!!!!! And then the industry changed forever,['WWE'],sports
9,https://instagram.ftun2-1.fna.fbcdn.net/v/t51.2885-15/fr/e15/s1080x1080/96947719_140138357615623_4909203807443503643_n.jpg?_nc_ht=instagram.ftun2-1.fna.fbcdn.net&_nc_cat=107&_nc_ohc=NjScoWZbT3AAX8ZPMqg&oh=38d67577567fc6493e536f87475e95ec&oe=5EEBF500,"Man City fans, we've got a treat for you tonight! . 5.30pm: PSG 6.30pm: Barcelona 7.30pm: Napoli 8.30pm: Bayern . Man City European Classics | Sunday 5.30pm | BT Sport 2 HD","['championsleague', 'btsport', 'football', 'mcfc', 'ucl', 'mancity']",sports
10,https://instagram.ftun2-1.fna.fbcdn.net/v/t51.2885-15/fr/e15/s1080x1080/98244517_242220010389927_3578333215478715640_n.jpg?_nc_ht=instagram.ftun2-1.fna.fbcdn.net&_nc_cat=103&_nc_ohc=wXiZHHXu3yQAX-E6REm&oh=edfa9390cb13b2e981f4bce34fb700e3&oe=5EE996DE,Two more games today . 2.15pm: Cologne Mainz 4.45pm: Union Berlin Bayern,['BundesligaIsBack'],sports
11,https://instagram.ftun2-1.fna.fbcdn.net/v/t51.2885-15/e35/97154290_2556263857974009_2970220738192461728_n.jpg?_nc_ht=instagram.ftun2-1.fna.fbcdn.net&_nc_cat=109&_nc_ohc=J9QTIgcIuvEAX-40vGE&oh=93c27ce7351b711999da2ab6b96de28e&oe=5EEBC449,A goal every 60 minutes in the Bundesliga... . We're running out of words,"['BundesligaIsBack', 'Haaland']",sports
12,https://instagram.ftun2-1.fna.fbcdn.net/v/t51.2885-15/fr/e15/s1080x1080/97231263_3107130689380736_2799084900650593068_n.jpg?_nc_ht=instagram.ftun2-1.fna.fbcdn.net&_nc_cat=108&_nc_ohc=wjg39NVUImoAX8TQFNn&oh=dd05d9991a87459691343c6472239543&oe=5EE9D9A9,@alistairovereem joins Aleksei Oleinik as the only other fighter to win in 4 different decades (via @ufcbtsport),"['UFCFL', 'MMA', 'UFC']",sports
